sample_slot,target_rule_id,source_snapshot_sha256,private_record_reference,name_type,expected_industry,observed_rule_id,is_false_positive,reviewer,reviewed_at,evidence_reference,notes
1,legacy-01,,,,,,,,,,
2,legacy-01,,,,,,,,,,
3,legacy-01,,,,,,,,,,
4,legacy-01,,,,,,,,,,
5,legacy-02,,,,,,,,,,
6,legacy-02,,,,,,,,,,
7,legacy-02,,,,,,,,,,
8,legacy-02,,,,,,,,,,
9,legacy-03,,,,,,,,,,
10,legacy-03,,,,,,,,,,
11,legacy-03,,,,,,,,,,
12,legacy-03,,,,,,,,,,
13,legacy-04,,,,,,,,,,
14,legacy-04,,,,,,,,,,
15,legacy-04,,,,,,,,,,
16,legacy-04,,,,,,,,,,
17,legacy-05,,,,,,,,,,
18,legacy-05,,,,,,,,,,
19,legacy-05,,,,,,,,,,
20,legacy-05,,,,,,,,,,
21,legacy-06,,,,,,,,,,
22,legacy-06,,,,,,,,,,
23,legacy-06,,,,,,,,,,
24,legacy-06,,,,,,,,,,
25,legacy-07,,,,,,,,,,
26,legacy-07,,,,,,,,,,
27,legacy-07,,,,,,,,,,
28,legacy-07,,,,,,,,,,
29,legacy-08,,,,,,,,,,
30,legacy-08,,,,,,,,,,
31,legacy-08,,,,,,,,,,
32,legacy-08,,,,,,,,,,
33,legacy-09,,,,,,,,,,
34,legacy-09,,,,,,,,,,
35,legacy-09,,,,,,,,,,
36,legacy-09,,,,,,,,,,
37,legacy-10,,,,,,,,,,
38,legacy-10,,,,,,,,,,
39,legacy-10,,,,,,,,,,
40,legacy-10,,,,,,,,,,
41,legacy-11,,,,,,,,,,
42,legacy-11,,,,,,,,,,
43,legacy-11,,,,,,,,,,
44,legacy-12,,,,,,,,,,
45,legacy-12,,,,,,,,,,
46,legacy-12,,,,,,,,,,
47,legacy-13,,,,,,,,,,
48,legacy-13,,,,,,,,,,
49,legacy-13,,,,,,,,,,
50,legacy-14,,,,,,,,,,
51,legacy-14,,,,,,,,,,
52,legacy-14,,,,,,,,,,
53,legacy-15,,,,,,,,,,
54,legacy-15,,,,,,,,,,
55,legacy-15,,,,,,,,,,
56,legacy-16,,,,,,,,,,
57,legacy-16,,,,,,,,,,
58,legacy-16,,,,,,,,,,
59,legacy-17,,,,,,,,,,
60,legacy-17,,,,,,,,,,
61,legacy-17,,,,,,,,,,
62,legacy-18,,,,,,,,,,
63,legacy-18,,,,,,,,,,
64,legacy-18,,,,,,,,,,
65,legacy-19,,,,,,,,,,
66,legacy-19,,,,,,,,,,
67,legacy-19,,,,,,,,,,
68,legacy-20,,,,,,,,,,
69,legacy-20,,,,,,,,,,
70,legacy-20,,,,,,,,,,
71,legacy-21,,,,,,,,,,
72,legacy-21,,,,,,,,,,
73,legacy-21,,,,,,,,,,
74,legacy-22,,,,,,,,,,
75,legacy-22,,,,,,,,,,
76,legacy-22,,,,,,,,,,
77,legacy-23,,,,,,,,,,
78,legacy-23,,,,,,,,,,
79,legacy-23,,,,,,,,,,
80,legacy-24,,,,,,,,,,
81,legacy-24,,,,,,,,,,
82,legacy-24,,,,,,,,,,
83,legacy-25,,,,,,,,,,
84,legacy-25,,,,,,,,,,
85,legacy-25,,,,,,,,,,
86,legacy-26,,,,,,,,,,
87,legacy-26,,,,,,,,,,
88,legacy-26,,,,,,,,,,
89,legacy-27,,,,,,,,,,
90,legacy-27,,,,,,,,,,
91,legacy-27,,,,,,,,,,
92,legacy-28,,,,,,,,,,
93,legacy-28,,,,,,,,,,
94,legacy-28,,,,,,,,,,
95,legacy-29,,,,,,,,,,
96,legacy-29,,,,,,,,,,
97,legacy-29,,,,,,,,,,
98,legacy-30,,,,,,,,,,
99,legacy-30,,,,,,,,,,
100,legacy-30,,,,,,,,,,
