trade_category,total,NSW,VIC,QLD,WA,SA,TAS,ACT,NT,UNKNOWN
Unclassified,43455,13782,11518,9320,4646,2581,599,645,286,78
Building & Construction,270,92,74,46,32,21,3,2,0,0
Landscaping & Gardening,207,69,52,32,25,16,5,4,4,0
Cleaning Services,173,58,36,39,21,8,5,4,2,0
Electrical,172,65,36,39,16,13,2,1,0,0
Transport & Haulage,160,55,50,27,16,9,1,1,1,0
Trade Services (general),150,39,36,41,20,10,2,1,1,0
Automotive & Mechanical,129,30,29,38,23,4,2,1,2,0
Plumbing & Gasfitting,105,35,28,22,10,5,1,0,4,0
Carpentry & Joinery,103,43,25,18,12,4,1,0,0,0
Painting & Decorating,79,19,26,12,9,4,7,2,0,0
Civil & Infrastructure,54,24,10,11,8,0,0,1,0,0
Concreting & Kerbing,43,14,9,9,6,1,3,0,1,0
Roofing & Guttering,39,17,6,9,7,0,0,0,0,0
Earthmoving & Excavation,39,13,5,10,4,3,1,2,1,0
Glazing & Windows,36,12,8,7,4,4,0,1,0,0
Mining & Resources,35,12,3,9,8,2,0,0,1,0
Tiling & Waterproofing,31,12,7,4,3,2,2,1,0,0
Security & Locksmith,31,6,10,5,6,3,0,1,0,0
Fencing & Gates,30,8,10,5,3,2,1,1,0,0
Welding & Metal Fab,29,8,5,8,5,3,0,0,0,0
Flooring & Carpet,28,4,13,7,1,1,1,1,0,0
Plastering & Rendering,25,3,8,7,4,2,0,1,0,0
HVAC & Refrigeration,23,11,4,3,3,2,0,0,0,0
Pest Control,23,10,4,5,1,2,0,1,0,0
Bricklaying & Blockwork,17,6,4,3,2,1,1,0,0,0
Signage & Print,17,8,3,1,3,0,1,1,0,0
Scaffolding & Rigging,17,3,8,2,2,1,0,1,0,0
Pools & Spas,17,7,5,3,1,1,0,0,0,0
Solar & Renewables,12,3,3,4,1,1,0,0,0,0
Demolition & Asbestos,7,1,2,3,1,0,0,0,0,0
